,N,c,n,replicate,th
218,40.0,0.718125,5.0,18.0,0.18103448275862066
219,40.0,0.755,5.0,19.0,0.18103448275862066
220,40.0,0.7775,5.0,20.0,0.18103448275862066
221,40.0,0.71,5.0,21.0,0.18103448275862066
222,40.0,0.6975,5.0,22.0,0.18103448275862066
223,40.0,0.730625,5.0,23.0,0.18103448275862066
224,40.0,0.724375,5.0,24.0,0.18103448275862066
225,40.0,0.718125,5.0,25.0,0.18103448275862066
226,40.0,0.70125,5.0,26.0,0.18103448275862066
227,40.0,0.709375,5.0,27.0,0.18103448275862066
228,40.0,0.745,5.0,28.0,0.18103448275862066
229,40.0,0.699375,5.0,29.0,0.18103448275862066
230,40.0,0.745,5.0,30.0,0.18103448275862066
231,40.0,0.701875,5.0,31.0,0.18103448275862066
232,40.0,0.73,5.0,32.0,0.18103448275862066
233,40.0,0.795,5.0,33.0,0.18103448275862066
234,40.0,0.76125,5.0,34.0,0.18103448275862066
235,40.0,0.76625,5.0,35.0,0.18103448275862066
236,40.0,0.741875,5.0,36.0,0.18103448275862066
237,40.0,0.67,5.0,37.0,0.18103448275862066
238,40.0,0.764375,5.0,38.0,0.18103448275862066
239,40.0,0.7825,5.0,39.0,0.18103448275862066
240,40.0,0.7625,5.0,40.0,0.18103448275862066
241,40.0,0.7025,5.0,41.0,0.18103448275862066
242,40.0,0.73625,5.0,42.0,0.18103448275862066
243,40.0,0.72375,5.0,43.0,0.18103448275862066
244,40.0,0.668125,5.0,44.0,0.18103448275862066
245,40.0,0.74125,5.0,45.0,0.18103448275862066
246,40.0,0.714375,5.0,46.0,0.18103448275862066
247,40.0,0.729375,5.0,47.0,0.18103448275862066
248,40.0,0.730625,5.0,48.0,0.18103448275862066
249,40.0,0.746875,5.0,49.0,0.18103448275862066
250,40.0,0.72375,5.0,0.0,0.21379310344827585
251,40.0,0.705,5.0,1.0,0.21379310344827585
252,40.0,0.76875,5.0,2.0,0.21379310344827585
253,40.0,0.726875,5.0,3.0,0.21379310344827585
254,40.0,0.78375,5.0,4.0,0.21379310344827585
255,40.0,0.74875,5.0,5.0,0.21379310344827585
256,40.0,0.6825,5.0,6.0,0.21379310344827585
257,40.0,0.744375,5.0,7.0,0.21379310344827585
258,40.0,0.789375,5.0,8.0,0.21379310344827585
259,40.0,0.76375,5.0,9.0,0.21379310344827585
260,40.0,0.72,5.0,10.0,0.21379310344827585
261,40.0,0.720625,5.0,11.0,0.21379310344827585
262,40.0,0.690625,5.0,12.0,0.21379310344827585
263,40.0,0.688125,5.0,13.0,0.21379310344827585
264,40.0,0.72625,5.0,14.0,0.21379310344827585
265,40.0,0.76,5.0,15.0,0.21379310344827585
266,40.0,0.719375,5.0,16.0,0.21379310344827585
267,40.0,0.7625,5.0,17.0,0.21379310344827585
268,40.0,0.746875,5.0,18.0,0.21379310344827585
269,40.0,0.74,5.0,19.0,0.21379310344827585
270,40.0,0.72625,5.0,20.0,0.21379310344827585
271,40.0,0.748125,5.0,21.0,0.21379310344827585
272,40.0,0.756875,5.0,22.0,0.21379310344827585
273,40.0,0.75875,5.0,23.0,0.21379310344827585
274,40.0,0.7425,5.0,24.0,0.21379310344827585
275,40.0,0.745625,5.0,25.0,0.21379310344827585
276,40.0,0.729375,5.0,26.0,0.21379310344827585
277,40.0,0.733125,5.0,27.0,0.21379310344827585
278,40.0,0.71,5.0,28.0,0.21379310344827585
279,40.0,0.711875,5.0,29.0,0.21379310344827585
280,40.0,0.734375,5.0,30.0,0.21379310344827585
281,40.0,0.73125,5.0,31.0,0.21379310344827585
282,40.0,0.701875,5.0,32.0,0.21379310344827585
283,40.0,0.781875,5.0,33.0,0.21379310344827585
284,40.0,0.776875,5.0,34.0,0.21379310344827585
285,40.0,0.755,5.0,35.0,0.21379310344827585
286,40.0,0.75125,5.0,36.0,0.21379310344827585
287,40.0,0.711875,5.0,37.0,0.21379310344827585
288,40.0,0.7625,5.0,38.0,0.21379310344827585
289,40.0,0.73,5.0,39.0,0.21379310344827585
290,40.0,0.68875,5.0,40.0,0.21379310344827585
291,40.0,0.688125,5.0,41.0,0.21379310344827585
292,40.0,0.7625,5.0,42.0,0.21379310344827585
293,40.0,0.759375,5.0,43.0,0.21379310344827585
294,40.0,0.756875,5.0,44.0,0.21379310344827585
295,40.0,0.68125,5.0,45.0,0.21379310344827585
296,40.0,0.685,5.0,46.0,0.21379310344827585
297,40.0,0.749375,5.0,47.0,0.21379310344827585
298,40.0,0.685625,5.0,48.0,0.21379310344827585
299,40.0,0.714375,5.0,49.0,0.21379310344827585
300,40.0,0.734375,5.0,0.0,0.24655172413793103
301,40.0,0.75375,5.0,1.0,0.24655172413793103
302,40.0,0.64875,5.0,2.0,0.24655172413793103
303,40.0,0.76125,5.0,3.0,0.24655172413793103
304,40.0,0.700625,5.0,4.0,0.24655172413793103
305,40.0,0.725625,5.0,5.0,0.24655172413793103
306,40.0,0.6875,5.0,6.0,0.24655172413793103
307,40.0,0.7675,5.0,7.0,0.24655172413793103
